,dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
23,1987-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1987-02-13,sneakin-sally-through-the-alley,possum,golgi-apparatus,slave-to-the-traffic-light,quinn-the-eskimo,alumni-blues,letter-to-jimmy-page,suzy-greenberg,sanity,good-times-bad-times,wilson,melt-the-guns,daves-energy-guide,fluffhead,harry-hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1987-02-21,why-dont-you-love-me,fluffhead,fire,suzy-greenberg,dear-mrs-reagan,camel-walk,back-porch-boogie-blues,blue-monk,clod,lushington,peaches-en-regalia,swing-low-sweet-chariot,boogie-on-reggae-woman,ya-mar,corinna,dog-log,alumni-blues,letter-to-jimmy-page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1987-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1987-03-06,funky-bitch,good-times-bad-times,corinna,golgi-apparatus,quinn-the-eskimo,sneakin-sally-through-the-alley,free-bird,happy-birthday-to-you,harry-hood,tell-me-something-good,possum,freeworld,wilson,slave-to-the-traffic-light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1987-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1987-03-23,funky-bitch,mikes-song,alumni-blues,letter-to-jimmy-page,you-enjoy-myself,sparks,fluffhead,peaches-en-regalia,ride-captain-ride,daves-energy-guide,corinna,why-dont-you-love-me,camel-walk,golgi-apparatus,swing-low-sweet-chariot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1987-04-24,golgi-apparatus,acdc-bag,possum,fluffhead,you-enjoy-myself,daves-energy-guide,punch-me-in-the-eye,alumni-blues,letter-to-jimmy-page,i-am-hydrogen,who-do-we-do,david-bowie,dear-mrs-reagan,slave-to-the-traffic-light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1987-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1987-04-29,she-caught-the-katy-and-left-me-a-mule-to-ride,alumni-blues,letter-to-jimmy-page,golgi-apparatus,swing-low-sweet-chariot,fire,skin-it-back,cities,lushington,dog-log,melt-the-guns,daves-energy-guide,take-the-a-train,halleys-comet,quinn-the-eskimo,acdc-bag,peaches-en-regalia,fluffhead,good-times-bad-times,anarchy,makisupa-policeman,run-like-an-antelope,boogie-on-reggae-woman,timber-jerry,slave-to-the-traffic-light,sparks,mcgrupp-and-the-watchful-hosemasters,the-ballad-of-curtis-loew,come-on-part-one,i-am-hydrogen,who-do-we-do,fuck-your-face,http://Phish.com/,,,,,,,,,,,,,,,,,
33,1987-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1987-05-11,you-enjoy-myself,lushington,possum,slave-to-the-traffic-light,sneakin-sally-through-the-alley,clod,peaches-en-regalia,the-man-who-stepped-into-yesterday,avenu-malkenu,makisupa-policeman,ya-mar,golgi-apparatus,corinna,letter-to-jimmy-page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1987-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1987-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1987-05-20,wilson,run-like-an-antelope,golgi-apparatus,back-porch-boogie-blues,lushington,possum,harry-hood,you-enjoy-myself,alumni-blues,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1987-08-09,golgi-apparatus,slave-to-the-traffic-light,la-grange,lushington,possum,sneakin-sally-through-the-alley,timber-jerry,good-times-bad-times,acdc-bag,shaggy-dog,funky-bitch,the-curtain-with,halleys-comet,the-sloth,light-up-or-leave-me-alone,skin-it-back,peaches-en-regalia,fluffhead,fee,harry-hood,harpua,suzy-greenberg,david-bowie,you-enjoy-myself,ya-mar,divided-sky,flat-fee,mcgrupp-and-the-watchful-hosemasters,corinna,,,,,,,,,,,,,,,,,,,,,
39,1987-08-10,peaches-en-regalia,alumni-blues,letter-to-jimmy-page,golgi-apparatus,wilson,quinn-the-eskimo,divided-sky,good-times-bad-times,fire,acdc-bag,possum,fluffhead,fee,the-curtain-with,i-know-a-little,mustang-sally,you-enjoy-myself,la-grange,icculus,david-bowie,jesus-just-left-chicago,whipping-post,anarchy,tush,dear-mrs-reagan,,,,,,,,,,,,,,,,,,,,,,,,,
40,1987-08-21,dog-log,peaches-en-regalia,divided-sky,funky-bitch,harry-hood,clod,the-curtain-with,light-up-or-leave-me-alone,shaggy-dog,wilson,camel-walk,mikes-song,hold-your-head-up,harpua,bundle-of-joy,golgi-apparatus,sparks,flat-fee,fee,skin-it-back,low-rider,back-porch-boogie-blues,the-sloth,big-black-furry-creature-from-mars,mcgrupp-and-the-watchful-hosemasters,stir-it-up,makisupa-policeman,david-bowie,sanity,swing-low-sweet-chariot,,,,,,,,,,,,,,,,,,,,
41,1987-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1987-08-29,alumni-blues,letter-to-jimmy-page,the-ballad-of-curtis-loew,sneakin-sally-through-the-alley,makisupa-policeman,big-black-furry-creature-from-mars,flat-fee,lushington,suzy-greenberg,hold-your-head-up,mustang-sally,ya-mar,the-man-who-stepped-into-yesterday,avenu-malkenu,clod,slave-to-the-traffic-light,swing-low-sweet-chariot,the-curtain-with,mcgrupp-and-the-watchful-hosemasters,possum,harry-hood,timber-jerry,acdc-bag,divided-sky,harpua,bundle-of-joy,la-grange,corinna,mikes-song,i-am-hydrogen,who-do-we-do,shaggy-dog,david-bowie,jesus-just-left-chicago,she-caught-the-katy-and-left-me-a-mule-to-ride,,,,,,,,,,,,,,,
43,1987-09-02,acdc-bag,fluffhead,sneakin-sally-through-the-alley,divided-sky,wilson,david-bowie,lushington,possum,big-black-furry-creature-from-mars,makisupa-policeman,timber-jerry,shaggy-dog,you-enjoy-myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1987-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1987-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1987-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1987-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1987-09-21,the-man-who-stepped-into-yesterday,avenu-malkenu,clod,slave-to-the-traffic-light,funky-bitch,wilson,dear-mrs-reagan,golgi-apparatus,acdc-bag,possum,you-enjoy-myself,the-curtain-with,big-black-furry-creature-from-mars,suzy-greenberg,alumni-blues,letter-to-jimmy-page,happy-birthday-to-you,good-times-bad-times,rocky-top,sneakin-sally-through-the-alley,fee,divided-sky,dog-log,the-ballad-of-curtis-loew,run-like-an-antelope,makisupa-policeman,flat-fee,fire,terrapin,la-grange,fluffhead,,,,,,,,,,,,,,,,,,,
49,1987-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1987-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1987-10-14,peaches-en-regalia,take-the-a-train,you-enjoy-myself,golgi-apparatus,slave-to-the-traffic-light,the-chase,fluffhead,daves-energy-guide,possum,david-bowie,acdc-bag,divided-sky,mcgrupp-and-the-watchful-hosemasters,clod,makisupa-policeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1987-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1987-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1987-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1987-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1987-10-31,jam,whipping-post,sneakin-sally-through-the-alley,back-porch-boogie-blues,halleys-comet,light-up-or-leave-me-alone,love-you,acdc-bag,possum,you-enjoy-myself,big-black-furry-creature-from-mars,the-man-who-stepped-into-yesterday,avenu-malkenu,peaches-en-regalia,take-the-a-train,timber-jerry,the-chase,i-am-hydrogen,who-do-we-do,fee,divided-sky,mcgrupp-and-the-watchful-hosemasters,clod,alumni-blues,letter-to-jimmy-page,fluffhead,david-bowie,,,,,,,,,,,,,,,,,,,,,,,
57,1987-11-18,slave-to-the-traffic-light,the-man-who-stepped-into-yesterday,avenu-malkenu,flat-fee,wilson,peaches-en-regalia,take-the-a-train,golgi-apparatus,divided-sky,alumni-blues,letter-to-jimmy-page,good-times-bad-times,i-didnt-know,you-enjoy-myself,fluffhead,acdc-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1987-11-19,mcgrupp-and-the-watchful-hosemasters,sparks,funky-bitch,you-enjoy-myself,sneakin-sally-through-the-alley,harry-hood,fire,timber-jerry,fluffhead,i-didnt-know,fee,corinna,alumni-blues,letter-to-jimmy-page,jam,suzy-greenberg,possum,divided-sky,big-black-furry-creature-from-mars,dinner-and-a-movie,the-ballad-of-curtis-loew,whipping-post,harpua,take-the-a-train,camel-walk,la-grange,bike,slave-to-the-traffic-light,,,,,,,,,,,,,,,,,,,,,,
59,1987-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1987-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1987-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1988-01-27,funky-bitch,mustang-sally,acdc-bag,possum,jesus-just-left-chicago,sneakin-sally-through-the-alley,alumni-blues,letter-to-jimmy-page,take-the-a-train,good-times-bad-times,wilson,slave-to-the-traffic-light,corinna,fire,fluffhead,divided-sky,the-ballad-of-curtis-loew,you-enjoy-myself,the-sloth,whipping-post,fee,the-lizards,suzy-greenberg,golgi-apparatus,bike,big-black-furry-creature-from-mars,camel-walk,harry-hood,,,,,,,,,,,,,,,,,,,,,,
63,1988-02-03,david-bowie,sympathy-for-the-devil,fee,run-like-an-antelope,acdc-bag,possum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1988-02-07,fire,mcgrupp-and-the-watchful-hosemasters,shaggy-dog,golgi-apparatus,alumni-blues,letter-to-jimmy-page,peaches-en-regalia,phase-dance,dear-mrs-reagan,i-didnt-know,david-bowie,happy-birthday-to-you,acdc-bag,timber-jerry,flat-fee,fee,possum,the-lizards,fly-famous-mockingbird,whipping-post,suzy-greenberg,the-man-who-stepped-into-yesterday,avenu-malkenu,clod,bundle-of-joy,the-curtain-with,the-ballad-of-curtis-loew,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,
65,1988-02-08,slave-to-the-traffic-light,funky-bitch,take-the-a-train,golgi-apparatus,phase-dance,fire,you-enjoy-myself,fluffhead,wilson,peaches-en-regalia,divided-sky,the-lizards,run-like-an-antelope,the-sloth,flat-fee,dinner-and-a-movie,alumni-blues,letter-to-jimmy-page,harry-hood,bike,fee,jesus-just-left-chicago,big-black-furry-creature-from-mars,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1988-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1988-02-20,funky-bitch,golgi-apparatus,peaches-en-regalia,take-the-a-train,possum,phase-dance,good-times-bad-times,skin-it-back,david-bowie,wilson,i-didnt-know,fluffhead,fire,fee,you-enjoy-myself,divided-sky,acdc-bag,whipping-post,slave-to-the-traffic-light,big-black-furry-creature-from-mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1988-02-24,funky-bitch,fluffhead,the-curtain,you-enjoy-myself,i-didnt-know,the-lizards,wilson,peaches-en-regalia,golgi-apparatus,slave-to-the-traffic-light,corinna,fee,david-bowie,mustang-sally,sneakin-sally-through-the-alley,sanity,la-grange,harry-hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1988-02-26,the-curtain,suzy-greenberg,you-enjoy-myself,the-man-who-stepped-into-yesterday,avenu-malkenu,acdc-bag,possum,phase-dance,good-times-bad-times,fluffhead,i-didnt-know,golgi-apparatus,the-lizards,david-bowie,the-ballad-of-curtis-loew,fee,mcgrupp-and-the-watchful-hosemasters,dear-mrs-reagan,makisupa-policeman,alumni-blues,letter-to-jimmy-page,whipping-post,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1988-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1988-03-11,the-chicken,funky-bitch,sneakin-sally-through-the-alley,take-the-a-train,you-enjoy-myself,wilson,golgi-apparatus,slave-to-the-traffic-light,flat-fee,corinna,the-lizards,david-bowie,fluffhead,dinner-and-a-movie,harry-hood,the-ballad-of-curtis-loew,harpua,acdc-bag,alumni-blues,run-like-an-antelope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1988-03-12,jump-monk,mcgrupp-and-the-watchful-hosemasters,the-lizards,tela,wilson,acdc-bag,colonel-forbins-ascent,fly-famous-mockingbird,the-sloth,possum,run-like-an-antelope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1988-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1988-03-21,suzy-greenberg,golgi-apparatus,mcgrupp-and-the-watchful-hosemasters,sneakin-sally-through-the-alley,divided-sky,boogie-on-reggae-woman,timber-jerry,the-lizards,fire,acdc-bag,the-chase,possum,dinner-and-a-movie,i-didnt-know,colonel-forbins-ascent,fly-famous-mockingbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1988-03-22,harpua,wilson,peaches-en-regalia,funky-bitch,golgi-apparatus,suzy-greenberg,you-enjoy-myself,the-lizards,good-times-bad-times,happy-birthday-to-you,colonel-forbins-ascent,icculus,fly-famous-mockingbird,acdc-bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1988-03-31,i-didnt-know,golgi-apparatus,fee,acdc-bag,possum,fluffhead,alumni-blues,the-lizards,colonel-forbins-ascent,fly-famous-mockingbird,take-the-a-train,fire,you-enjoy-myself,wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1988-04-02,fire,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1988-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1988-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1988-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1988-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1988-04-22,i-didnt-know,golgi-apparatus,the-lizards,fee,shaggy-dog,big-black-furry-creature-from-mars,you-enjoy-myself,suzy-greenberg,ya-mar,acdc-bag,possum,the-ballad-of-curtis-loew,david-bowie,colonel-forbins-ascent,fly-famous-mockingbird,fire,alumni-blues,letter-to-jimmy-page,run-like-an-antelope,fluffhead,dinner-and-a-movie,harry-hood,harpua,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1988-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1988-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1988-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1988-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1988-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1988-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1988-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1988-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1988-05-14,fire,i-didnt-know,halleys-comet,light-up-or-leave-me-alone,you-enjoy-myself,the-lizards,big-black-furry-creature-from-mars,jesus-just-left-chicago,fluffhead,alumni-blues,letter-to-jimmy-page,take-the-a-train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1988-05-15,alumni-blues,letter-to-jimmy-page,golgi-apparatus,you-enjoy-myself,suzy-greenberg,good-times-bad-times,fluffhead,shaggy-dog,the-lizards,sneakin-sally-through-the-alley,acdc-bag,possum,icculus,mcgrupp-and-the-watchful-hosemasters,the-curtain-with,wilson,peaches-en-regalia,take-the-a-train,jesus-just-left-chicago,i-didnt-know,flat-fee,whipping-post,harpua,fire,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1988-05-21,funky-bitch,sneakin-sally-through-the-alley,alumni-blues,letter-to-jimmy-page,you-enjoy-myself,st-thomas,golgi-apparatus,fire,la-grange,possum,the-lizards,timber-jerry,tela,happy-birthday-to-you,fluffhead,bike,good-times-bad-times,big-leg-emma,rocky-top,cities,take-the-a-train,the-curtain-with,suzy-greenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1988-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1988-05-23,take-the-a-train,golgi-apparatus,you-enjoy-myself,rocky-top,light-up-or-leave-me-alone,i-didnt-know,peaches-en-regalia,possum,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1988-05-24,the-curtain-with,rocky-top,funky-bitch,alumni-blues,letter-to-jimmy-page,peaches-en-regalia,golgi-apparatus,sneakin-sally-through-the-alley,suzy-greenberg,fire,jesus-just-left-chicago,fluffhead,whipping-post,ya-mar,jam,halleys-comet,the-sloth,i-didnt-know,la-grange,fee,i-know-a-little,big-black-furry-creature-from-mars,corinna,harpua,run-like-an-antelope,,,,,,,,,,,,,,,,,,,,,,,,,
97,1988-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1988-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1988-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1988-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1988-06-15,suzy-greenberg,alumni-blues,letter-to-jimmy-page,you-enjoy-myself,wilson,rocky-top,mcgrupp-and-the-watchful-hosemasters,fluffhead,golgi-apparatus,la-grange,fee,timber-jerry,i-didnt-know,the-lizards,acdc-bag,the-sloth,contact,dinner-and-a-movie,take-the-a-train,good-times-bad-times,whipping-post,dear-mrs-reagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1988-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1988-06-19,the-curtain-with,funky-bitch,possum,golgi-apparatus,la-grange,suzy-greenberg,big-leg-emma,you-enjoy-myself,good-times-bad-times,cities,alumni-blues,letter-to-jimmy-page,big-black-furry-creature-from-mars,swing-low-sweet-chariot,contact,run-like-an-antelope,i-know-a-little,mikes-song,corinna,rocky-top,mcgrupp-and-the-watchful-hosemasters,jesus-just-left-chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1988-06-20,slave-to-the-traffic-light,peaches-en-regalia,you-enjoy-myself,fluffhead,acdc-bag,the-lizards,halleys-comet,wilson,ya-mar,jam,i-didnt-know,sneakin-sally-through-the-alley,tela,fee,golgi-apparatus,satin-doll,take-the-a-train,possum,the-ballad-of-curtis-loew,david-bowie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1988-06-21,fluffhead,rocky-top,mustang-sally,suzy-greenberg,the-curtain,the-lizards,fly-famous-mockingbird,fire,acdc-bag,flat-fee,alumni-blues,letter-to-jimmy-page,jesus-just-left-chicago,good-times-bad-times,contact,peaches-en-regalia,golgi-apparatus,harpua,i-didnt-know,whipping-post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1988-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1988-06-24,the-lizards,possum,blue-bossa,alumni-blues,letter-to-jimmy-page,on-your-way-down,golgi-apparatus,fee,sneakin-sally-through-the-alley,you-enjoy-myself,the-ballad-of-curtis-loew,fluffhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1988-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1988-07-07,acdc-bag,you-enjoy-myself,la-grange,shaggy-dog,golgi-apparatus,i-didnt-know,sweet-georgia-brown,bold-as-love,colonel-forbins-ascent,fly-famous-mockingbird,suzy-greenberg,good-times-bad-times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1988-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1988-07-11,satin-doll,suzy-greenberg,the-curtain-with,funky-bitch,fire,bold-as-love,colonel-forbins-ascent,fly-famous-mockingbird,golgi-apparatus,alumni-blues,letter-to-jimmy-page,mcgrupp-and-the-watchful-hosemasters,la-grange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
